Indicator,Sector,Stage,Team,Traction,Sector,Stage of Venture,Team Characteristics,Traction Indicators,Prompt
88,4,2,2,2,Energy/Green Technology,Prototype/Proof of Concept,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
89,1,3,2,2,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Founders with Industry Expertise,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed"
90,2,3,2,2,Consumer Products,Early Market Testing,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
91,3,3,2,2,Software/Enterprise Solutions,Early Market Testing,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
92,4,3,2,2,Energy/Green Technology,Early Market Testing,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
93,1,4,2,2,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Founders with Industry Expertise,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed"
94,2,4,2,2,Consumer Products,Revenue-Generating,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
95,3,4,2,2,Software/Enterprise Solutions,Revenue-Generating,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
96,4,4,2,2,Energy/Green Technology,Revenue-Generating,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
97,1,1,3,2,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed"
98,2,1,3,2,Consumer Products,Idea/Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
99,3,1,3,2,Software/Enterprise Solutions,Idea/Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
100,4,1,3,2,Energy/Green Technology,Idea/Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
101,1,2,3,2,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed"
102,2,2,3,2,Consumer Products,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
103,3,2,3,2,Software/Enterprise Solutions,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
104,4,2,3,2,Energy/Green Technology,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
105,1,3,3,2,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed"
106,2,3,3,2,Consumer Products,Early Market Testing,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
107,3,3,3,2,Software/Enterprise Solutions,Early Market Testing,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
108,4,3,3,2,Energy/Green Technology,Early Market Testing,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
109,1,4,3,2,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed"
110,2,4,3,2,Consumer Products,Revenue-Generating,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
111,3,4,3,2,Software/Enterprise Solutions,Revenue-Generating,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
112,4,4,3,2,Energy/Green Technology,Revenue-Generating,Academic Background (PhD/Postdoc involvement),Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: Angel/Seed Round Completed
113,1,1,4,2,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Diverse Team Composition,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed"
114,2,1,4,2,Consumer Products,Idea/Concept,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
115,3,1,4,2,Software/Enterprise Solutions,Idea/Concept,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
116,4,1,4,2,Energy/Green Technology,Idea/Concept,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
117,1,2,4,2,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Diverse Team Composition,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed"
118,2,2,4,2,Consumer Products,Prototype/Proof of Concept,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
119,3,2,4,2,Software/Enterprise Solutions,Prototype/Proof of Concept,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
120,4,2,4,2,Energy/Green Technology,Prototype/Proof of Concept,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
121,1,3,4,2,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Diverse Team Composition,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed"
122,2,3,4,2,Consumer Products,Early Market Testing,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
123,3,3,4,2,Software/Enterprise Solutions,Early Market Testing,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
124,4,3,4,2,Energy/Green Technology,Early Market Testing,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
125,1,4,4,2,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Diverse Team Composition,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed"
126,2,4,4,2,Consumer Products,Revenue-Generating,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
127,3,4,4,2,Software/Enterprise Solutions,Revenue-Generating,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
128,4,4,4,2,Energy/Green Technology,Revenue-Generating,Diverse Team Composition,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: Angel/Seed Round Completed
129,1,1,1,3,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed"
130,2,1,1,3,Consumer Products,Idea/Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
131,3,1,1,3,Software/Enterprise Solutions,Idea/Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
132,4,1,1,3,Energy/Green Technology,Idea/Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
133,1,2,1,3,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed"
134,2,2,1,3,Consumer Products,Prototype/Proof of Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
135,3,2,1,3,Software/Enterprise Solutions,Prototype/Proof of Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
136,4,2,1,3,Energy/Green Technology,Prototype/Proof of Concept,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
137,1,3,1,3,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Founders with Prior Startup Experience,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed"
138,2,3,1,3,Consumer Products,Early Market Testing,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
139,3,3,1,3,Software/Enterprise Solutions,Early Market Testing,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
140,4,3,1,3,Energy/Green Technology,Early Market Testing,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
141,1,4,1,3,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Founders with Prior Startup Experience,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed"
142,2,4,1,3,Consumer Products,Revenue-Generating,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
143,3,4,1,3,Software/Enterprise Solutions,Revenue-Generating,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
144,4,4,1,3,Energy/Green Technology,Revenue-Generating,Founders with Prior Startup Experience,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: IP/Patent Plans Filed
145,1,1,2,3,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Founders with Industry Expertise,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed"
146,2,1,2,3,Consumer Products,Idea/Concept,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
147,3,1,2,3,Software/Enterprise Solutions,Idea/Concept,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
148,4,1,2,3,Energy/Green Technology,Idea/Concept,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
149,1,2,2,3,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Founders with Industry Expertise,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed"
150,2,2,2,3,Consumer Products,Prototype/Proof of Concept,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
151,3,2,2,3,Software/Enterprise Solutions,Prototype/Proof of Concept,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
152,4,2,2,3,Energy/Green Technology,Prototype/Proof of Concept,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
153,1,3,2,3,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Founders with Industry Expertise,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed"
154,2,3,2,3,Consumer Products,Early Market Testing,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
155,3,3,2,3,Software/Enterprise Solutions,Early Market Testing,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
156,4,3,2,3,Energy/Green Technology,Early Market Testing,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
157,1,4,2,3,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Founders with Industry Expertise,IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed"
158,2,4,2,3,Consumer Products,Revenue-Generating,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
159,3,4,2,3,Software/Enterprise Solutions,Revenue-Generating,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
160,4,4,2,3,Energy/Green Technology,Revenue-Generating,Founders with Industry Expertise,IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: IP/Patent Plans Filed
161,1,1,3,3,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed"
162,2,1,3,3,Consumer Products,Idea/Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
163,3,1,3,3,Software/Enterprise Solutions,Idea/Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
164,4,1,3,3,Energy/Green Technology,Idea/Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
165,1,2,3,3,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed"
166,2,2,3,3,Consumer Products,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
167,3,2,3,3,Software/Enterprise Solutions,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
168,4,2,3,3,Energy/Green Technology,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
169,1,3,3,3,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed"
170,2,3,3,3,Consumer Products,Early Market Testing,Academic Background (PhD/Postdoc involvement),IP/Patent Plans Filed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: IP/Patent Plans Filed
